itemID,comunaCode,locality,startDate,status,eomCount,givCount,serviceable,facility,deliveryType,availableEomOptions,availableGivOptions,PresentinEomnotGiv,PresentinGivnotEom
197365008,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
198124999,130106,13114,2025-03-04,identical,2,2,SERVICEABLE IN BOTH,012,CD,DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY,0,0
198160999,130106,13114,2025-03-04,identical,0,0,N/A,N/A,N/A,,,0,0
198571999,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
199060999,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
199140999,130106,13114,2025-03-04,differ,3,4,SERVICEABLE IN BOTH,123,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED,0,DELIVERY-HOME-SAME_DAY
199359999,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED,0,0
199361999,130106,13114,2025-03-04,differ,3,4,SERVICEABLE IN BOTH,20,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-IN_STORE-SCHEDULED,0,DELIVERY-HOME-SAME_DAY
199394999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199506999,130106,13114,2025-03-04,differ,1,0,SERVICEABLE IN EOM but NOT in GIV,29750,VEVCD,DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-SCHEDULED,0
199508999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
199529999,130106,13114,2025-03-04,identical,1,1,SERVICEABLE IN BOTH,29750,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED,0,0
